,"Total Workers, Male: Median Earnings","Total Workers, Female: Median Earnings","Full-Time, Year-Round Workers, Male: Median Earnings","Full-Time, Year-Round Workers, Female: Median Earnings"
2005,"$25,727 ","$17,730 ","$42,437 ","$28,993 "
2006,"$24,935 ","$16,771 ","$42,467 ","$32,026 "
2007,"$24,173 ","$17,242 ","$42,472 ","$34,360 "
2008,"$24,941 ","$17,340 ","$44,031 ","$34,558 "
2009,"$23,721 ","$13,945 ","$45,300 ","$34,922 "
2010,"$26,551 ","$17,068 ","$46,927 ","$36,881 "
2011,"$22,207 ","$17,473 ","$47,622 ","$36,455 "
2012,"$26,075 ","$20,045 ","$48,524 ","$37,945 "
2013,"$24,814 ","$18,996 ","$46,524 ","$37,482 "
2014,"$26,329 ","$21,325 ","$45,219 ","$38,302 "
2015,"$30,565 ","$21,547 ","$45,899 ","$41,032 "
2016,"$31,798 ","$26,372 ","$47,413 ","$39,725 "
2017,"$30,759 ","$23,334 ","$50,014 ","$38,944 "
2018,"$30,450 ","$25,047 ","$51,196 ","$43,890 "
2019,"$31,169 ","$26,743 ","$50,749 ","$44,011 "
2021,"$36,917 ","$29,255 ","$56,045 ","$45,825 "
2022,"$39,145 ","$31,588 ","$59,741 ","$55,416 "